num_mes,anio,mes,departamento,educacion,cant_edu,cod_dpto
1,2015,Ene,Amazonas,Primaria,0,29
1,2015,Ene,Amazonas,Secundaria,0,29
1,2015,Ene,Amazonas,Bachillerato,2,29
1,2015,Ene,Amazonas,Tecnica,5,29
1,2015,Ene,Amazonas,Tecnología,1,29
1,2015,Ene,Amazonas,Universitario,8,29
1,2015,Ene,Amazonas,Especialización,1,29
1,2015,Ene,Amazonas,Maestría,0,29
1,2015,Ene,Amazonas,Doctorado,2,29
1,2015,Ene,Amazonas,No especifica,1,29
1,2015,Ene,Antioquia,Primaria,26,1
1,2015,Ene,Antioquia,Secundaria,126,1
1,2015,Ene,Antioquia,Bachillerato,629,1
1,2015,Ene,Antioquia,Tecnica,835,1
1,2015,Ene,Antioquia,Tecnología,539,1
1,2015,Ene,Antioquia,Universitario,1057,1
1,2015,Ene,Antioquia,Especialización,185,1
1,2015,Ene,Antioquia,Maestría,34,1
1,2015,Ene,Antioquia,Doctorado,1,1
1,2015,Ene,Antioquia,No especifica,646,1
1,2015,Ene,Arauca,Primaria,0,25
1,2015,Ene,Arauca,Secundaria,0,25
1,2015,Ene,Arauca,Bachillerato,1,25
1,2015,Ene,Arauca,Tecnica,4,25
1,2015,Ene,Arauca,Tecnología,3,25
1,2015,Ene,Arauca,Universitario,6,25
1,2015,Ene,Arauca,Especialización,3,25
1,2015,Ene,Arauca,Maestría,11,25
1,2015,Ene,Arauca,Doctorado,0,25
1,2015,Ene,Arauca,No especifica,22,25
1,2015,Ene,Atlántico,Primaria,1,2
1,2015,Ene,Atlántico,Secundaria,63,2
1,2015,Ene,Atlántico,Bachillerato,168,2
1,2015,Ene,Atlántico,Tecnica,301,2
1,2015,Ene,Atlántico,Tecnología,124,2
1,2015,Ene,Atlántico,Universitario,400,2
1,2015,Ene,Atlántico,Especialización,55,2
1,2015,Ene,Atlántico,Maestría,0,2
1,2015,Ene,Atlántico,Doctorado,0,2
1,2015,Ene,Atlántico,No especifica,201,2
1,2015,Ene,Bogotá D.C.,Primaria,528,3
1,2015,Ene,Bogotá D.C.,Secundaria,1506,3
1,2015,Ene,Bogotá D.C.,Bachillerato,10843,3
1,2015,Ene,Bogotá D.C.,Tecnica,6338,3
1,2015,Ene,Bogotá D.C.,Tecnología,2999,3
1,2015,Ene,Bogotá D.C.,Universitario,9041,3
