num_mes,anio,Mes,departamento,experiencia,cant_exp,cod_dpto
1,2015,Ene,Amazonas,Sin Experiencia,9,29
1,2015,Ene,Amazonas,1 a 6 Meses,0,29
1,2015,Ene,Amazonas,7 a 12 Meses,3,29
1,2015,Ene,Amazonas,13 a 24 Meses,2,29
1,2015,Ene,Amazonas,25 a 36 Meses,1,29
1,2015,Ene,Amazonas,37 a 60 Meses,2,29
1,2015,Ene,Amazonas,Mayor a 60 meses,3,29
1,2015,Ene,Amazonas,No especifica experiencia,0,29
1,2015,Ene,Antioquia,Sin Experiencia,1089,1
1,2015,Ene,Antioquia,1 a 6 Meses,0,1
1,2015,Ene,Antioquia,7 a 12 Meses,1547,1
1,2015,Ene,Antioquia,13 a 24 Meses,685,1
1,2015,Ene,Antioquia,25 a 36 Meses,308,1
1,2015,Ene,Antioquia,37 a 60 Meses,163,1
1,2015,Ene,Antioquia,Mayor a 60 meses,38,1
1,2015,Ene,Antioquia,No especifica experiencia,248,1
1,2015,Ene,Arauca,Sin Experiencia,27,25
1,2015,Ene,Arauca,1 a 6 Meses,0,25
1,2015,Ene,Arauca,7 a 12 Meses,5,25
1,2015,Ene,Arauca,13 a 24 Meses,9,25
1,2015,Ene,Arauca,25 a 36 Meses,1,25
1,2015,Ene,Arauca,37 a 60 Meses,5,25
1,2015,Ene,Arauca,Mayor a 60 meses,3,25
1,2015,Ene,Arauca,No especifica experiencia,0,25
1,2015,Ene,Atlántico,Sin Experiencia,326,2
1,2015,Ene,Atlántico,1 a 6 Meses,0,2
1,2015,Ene,Atlántico,7 a 12 Meses,455,2
1,2015,Ene,Atlántico,13 a 24 Meses,244,2
1,2015,Ene,Atlántico,25 a 36 Meses,108,2
1,2015,Ene,Atlántico,37 a 60 Meses,69,2
1,2015,Ene,Atlántico,Mayor a 60 meses,27,2
1,2015,Ene,Atlántico,No especifica experiencia,84,2
1,2015,Ene,Bogotá D.C.,Sin Experiencia,7274,3
1,2015,Ene,Bogotá D.C.,1 a 6 Meses,1,3
1,2015,Ene,Bogotá D.C.,7 a 12 Meses,16635,3
1,2015,Ene,Bogotá D.C.,13 a 24 Meses,4827,3
1,2015,Ene,Bogotá D.C.,25 a 36 Meses,2170,3
1,2015,Ene,Bogotá D.C.,37 a 60 Meses,1320,3
1,2015,Ene,Bogotá D.C.,Mayor a 60 meses,423,3
1,2015,Ene,Bogotá D.C.,No especifica experiencia,1185,3
1,2015,Ene,Bolívar,Sin Experiencia,85,4
1,2015,Ene,Bolívar,1 a 6 Meses,0,4
1,2015,Ene,Bolívar,7 a 12 Meses,217,4
1,2015,Ene,Bolívar,13 a 24 Meses,139,4
1,2015,Ene,Bolívar,25 a 36 Meses,59,4
1,2015,Ene,Bolívar,37 a 60 Meses,34,4
