num_mes,anio,mes,departamento,vacantes
1,2015,Ene,Amazonas,20
1,2015,Ene,Antioquia,4078
1,2015,Ene,Arauca,50
1,2015,Ene,Atlántico,1313
1,2015,Ene,Bogotá D.C.,33835
1,2015,Ene,Bolívar,808
1,2015,Ene,Boyacá,308
1,2015,Ene,Caldas,354
1,2015,Ene,Caquetá,61
1,2015,Ene,Casanare,224
1,2015,Ene,Cauca,304
1,2015,Ene,Cesar,249
1,2015,Ene,Chocó,37
1,2015,Ene,Córdoba,203
1,2015,Ene,Cundinamarca,1223
1,2015,Ene,Guainía,2
1,2015,Ene,Guaviare,10
1,2015,Ene,Huila,370
1,2015,Ene,La Guajira,132
1,2015,Ene,Magdalena,252
1,2015,Ene,Meta,1054
1,2015,Ene,Nariño,173
1,2015,Ene,Norte de Santander,265
1,2015,Ene,Putumayo,177
1,2015,Ene,Quindío,232
1,2015,Ene,Risaralda,589
1,2015,Ene,"Archipiélago de San Andrés, Providencia y Santa Catalina",14
1,2015,Ene,Santander,1326
1,2015,Ene,Sucre,88
1,2015,Ene,Tolima,594
1,2015,Ene,Valle del Cauca,2947
1,2015,Ene,Vaupés,2
1,2015,Ene,Vichada,1
2,2015,Feb,Amazonas,22
2,2015,Feb,Antioquia,3899
2,2015,Feb,Arauca,38
2,2015,Feb,Atlántico,1351
2,2015,Feb,Bogotá D.C.,30868
2,2015,Feb,Bolívar,756
2,2015,Feb,Boyacá,271
2,2015,Feb,Caldas,309
2,2015,Feb,Caquetá,58
2,2015,Feb,Casanare,262
2,2015,Feb,Cauca,272
2,2015,Feb,Cesar,258
2,2015,Feb,Chocó,42
2,2015,Feb,Córdoba,216
2,2015,Feb,Cundinamarca,1205
2,2015,Feb,Guainía,5
2,2015,Feb,Guaviare,3
2,2015,Feb,Huila,399
2,2015,Feb,La Guajira,165
2,2015,Feb,Magdalena,182
2,2015,Feb,Meta,998
2,2015,Feb,Nariño,188
2,2015,Feb,Norte de Santander,423
2,2015,Feb,Putumayo,33
2,2015,Feb,Quindío,175
2,2015,Feb,Risaralda,476
2,2015,Feb,"Archipiélago de San Andrés, Providencia y Santa Catalina",26
2,2015,Feb,Santander,1301
2,2015,Feb,Sucre,77
2,2015,Feb,Tolima,622
2,2015,Feb,Valle del Cauca,2960
2,2015,Feb,Vaupés,1
2,2015,Feb,Vichada,3
3,2015,Mar,Amazonas,15
3,2015,Mar,Antioquia,4056
3,2015,Mar,Arauca,26
3,2015,Mar,Atlántico,1432
3,2015,Mar,Bogotá D.C.,32472
3,2015,Mar,Bolívar,823
3,2015,Mar,Boyacá,310
3,2015,Mar,Caldas,388
3,2015,Mar,Caquetá,67
3,2015,Mar,Casanare,176
3,2015,Mar,Cauca,257
3,2015,Mar,Cesar,246
3,2015,Mar,Chocó,37
3,2015,Mar,Córdoba,172
3,2015,Mar,Cundinamarca,1301
3,2015,Mar,Guainía,2
3,2015,Mar,Guaviare,6
3,2015,Mar,Huila,348
3,2015,Mar,La Guajira,161
3,2015,Mar,Magdalena,169
3,2015,Mar,Meta,792
3,2015,Mar,Nariño,233
3,2015,Mar,Norte de Santander,258
3,2015,Mar,Putumayo,75
3,2015,Mar,Quindío,247
3,2015,Mar,Risaralda,614
3,2015,Mar,"Archipiélago de San Andrés, Providencia y Santa Catalina",19
3,2015,Mar,Santander,1187
3,2015,Mar,Sucre,108
3,2015,Mar,Tolima,532
3,2015,Mar,Valle del Cauca,3285
3,2015,Mar,Vaupés,0
3,2015,Mar,Vichada,0
4,2015,Abr,Amazonas,27
4,2015,Abr,Antioquia,4754
4,2015,Abr,Arauca,92
4,2015,Abr,Atlántico,1729
4,2015,Abr,Bogotá D.C.,32708
4,2015,Abr,Bolívar,904
4,2015,Abr,Boyacá,572
4,2015,Abr,Caldas,525
4,2015,Abr,Caquetá,118
4,2015,Abr,Casanare,239
4,2015,Abr,Cauca,265
4,2015,Abr,Cesar,334
4,2015,Abr,Chocó,57
4,2015,Abr,Córdoba,285
4,2015,Abr,Cundinamarca,1712
4,2015,Abr,Guainía,25
4,2015,Abr,Guaviare,13
4,2015,Abr,Huila,555
4,2015,Abr,La Guajira,257
4,2015,Abr,Magdalena,277
4,2015,Abr,Meta,1237
4,2015,Abr,Nariño,358
4,2015,Abr,Norte de Santander,510
4,2015,Abr,Putumayo,88
4,2015,Abr,Quindío,308
4,2015,Abr,Risaralda,846
4,2015,Abr,"Archipiélago de San Andrés, Providencia y Santa Catalina",34
4,2015,Abr,Santander,1422
4,2015,Abr,Sucre,108
4,2015,Abr,Tolima,749
4,2015,Abr,Valle del Cauca,3756
4,2015,Abr,Vaupés,3
4,2015,Abr,Vichada,10
5,2015,May,Amazonas,38
5,2015,May,Antioquia,4925
5,2015,May,Arauca,62
5,2015,May,Atlántico,1647
5,2015,May,Bogotá D.C.,30317
5,2015,May,Bolívar,888
5,2015,May,Boyacá,583
5,2015,May,Caldas,495
5,2015,May,Caquetá,100
5,2015,May,Casanare,255
5,2015,May,Cauca,276
5,2015,May,Cesar,306
5,2015,May,Chocó,52
5,2015,May,Córdoba,225
5,2015,May,Cundinamarca,1756
5,2015,May,Guainía,4
5,2015,May,Guaviare,16
5,2015,May,Huila,568
5,2015,May,La Guajira,234
5,2015,May,Magdalena,231
5,2015,May,Meta,1118
5,2015,May,Nariño,446
5,2015,May,Norte de Santander,467
5,2015,May,Putumayo,68
5,2015,May,Quindío,314
5,2015,May,Risaralda,755
5,2015,May,"Archipiélago de San Andrés, Providencia y Santa Catalina",37
5,2015,May,Santander,1453
5,2015,May,Sucre,96
5,2015,May,Tolima,722
5,2015,May,Valle del Cauca,3469
5,2015,May,Vaupés,2
5,2015,May,Vichada,9
6,2015,Jun,Amazonas,60
6,2015,Jun,Antioquia,4784
6,2015,Jun,Arauca,46
6,2015,Jun,Atlántico,1707
6,2015,Jun,Bogotá D.C.,31244
6,2015,Jun,Bolívar,990
6,2015,Jun,Boyacá,605
6,2015,Jun,Caldas,528
6,2015,Jun,Caquetá,94
6,2015,Jun,Casanare,268
6,2015,Jun,Cauca,324
6,2015,Jun,Cesar,296
6,2015,Jun,Chocó,62
6,2015,Jun,Córdoba,223
6,2015,Jun,Cundinamarca,1862
6,2015,Jun,Guainía,16
6,2015,Jun,Guaviare,19
6,2015,Jun,Huila,549
6,2015,Jun,La Guajira,186
6,2015,Jun,Magdalena,280
6,2015,Jun,Meta,1302
6,2015,Jun,Nariño,346
6,2015,Jun,Norte de Santander,475
6,2015,Jun,Putumayo,72
6,2015,Jun,Quindío,335
6,2015,Jun,Risaralda,774
6,2015,Jun,"Archipiélago de San Andrés, Providencia y Santa Catalina",87
6,2015,Jun,Santander,1584
6,2015,Jun,Sucre,94
6,2015,Jun,Tolima,702
6,2015,Jun,Valle del Cauca,3861
6,2015,Jun,Vaupés,5
6,2015,Jun,Vichada,9
7,2015,Jul,Amazonas,48
7,2015,Jul,Antioquia,5957
7,2015,Jul,Arauca,82
7,2015,Jul,Atlántico,1799
7,2015,Jul,Bogotá D.C.,36528
7,2015,Jul,Bolívar,1136
7,2015,Jul,Boyacá,594
7,2015,Jul,Caldas,601
7,2015,Jul,Caquetá,133
7,2015,Jul,Casanare,424
7,2015,Jul,Cauca,388
7,2015,Jul,Cesar,371
7,2015,Jul,Chocó,69
7,2015,Jul,Córdoba,289
7,2015,Jul,Cundinamarca,2571
7,2015,Jul,Guainía,6
7,2015,Jul,Guaviare,27
7,2015,Jul,Huila,654
7,2015,Jul,La Guajira,150
7,2015,Jul,Magdalena,436
7,2015,Jul,Meta,1474
7,2015,Jul,Nariño,476
7,2015,Jul,Norte de Santander,510
7,2015,Jul,Putumayo,74
7,2015,Jul,Quindío,376
7,2015,Jul,Risaralda,1010
7,2015,Jul,"Archipiélago de San Andrés, Providencia y Santa Catalina",49
7,2015,Jul,Santander,1872
7,2015,Jul,Sucre,122
7,2015,Jul,Tolima,816
7,2015,Jul,Valle del Cauca,4260
7,2015,Jul,Vaupés,5
7,2015,Jul,Vichada,3
8,2015,Ago,Amazonas,38
8,2015,Ago,Antioquia,5574
8,2015,Ago,Arauca,103
8,2015,Ago,Atlántico,1726
8,2015,Ago,Bogotá D.C.,34689
8,2015,Ago,Bolívar,1026
8,2015,Ago,Boyacá,614
8,2015,Ago,Caldas,473
8,2015,Ago,Caquetá,99
8,2015,Ago,Casanare,337
8,2015,Ago,Cauca,211
8,2015,Ago,Cesar,222
8,2015,Ago,Chocó,38
8,2015,Ago,Córdoba,251
8,2015,Ago,Cundinamarca,2504
8,2015,Ago,Guainía,11
8,2015,Ago,Guaviare,16
8,2015,Ago,Huila,459
8,2015,Ago,La Guajira,154
8,2015,Ago,Magdalena,332
8,2015,Ago,Meta,1421
8,2015,Ago,Nariño,315
8,2015,Ago,Norte de Santander,653
8,2015,Ago,Putumayo,88
8,2015,Ago,Quindío,252
8,2015,Ago,Risaralda,936
8,2015,Ago,"Archipiélago de San Andrés, Providencia y Santa Catalina",48
8,2015,Ago,Santander,1490
8,2015,Ago,Sucre,146
8,2015,Ago,Tolima,624
8,2015,Ago,Valle del Cauca,3740
8,2015,Ago,Vaupés,4
