num_mes,anio,mes,departamento,salario,cant_salario,cod_dpto
1,2015,Ene,Amazonas,Salario Mínimo,4,29
1,2015,Ene,Amazonas,Salario Mínimo 0 $1.000.000,6,29
1,2015,Ene,Amazonas,$1.000.001 0 $1.500.000,2,29
1,2015,Ene,Amazonas,$1.500.001 0 $2.000.000,2,29
1,2015,Ene,Amazonas,$2.000.001 0 $3.000.000,2,29
1,2015,Ene,Amazonas,$3.000.001 0 $4.000.000,0,29
1,2015,Ene,Amazonas,$4.000.001 0 $6.000.000,3,29
1,2015,Ene,Amazonas,$6.000.001 0 $8.000.000,0,29
1,2015,Ene,Amazonas,$8.000.001 0 $10.000.000,1,29
1,2015,Ene,Amazonas,$10.000.0010$12.000.000,0,29
1,2015,Ene,Amazonas,$12.000.0010$15.000.000,0,29
1,2015,Ene,Amazonas,>$15.000.001,0,29
1,2015,Ene,Amazonas,A convenir,0,29
1,2015,Ene,Amazonas,No especifica Salario,0,29
1,2015,Ene,Antioquia,Salario Mínimo,302,1
1,2015,Ene,Antioquia,Salario Mínimo 0 $1.000.000,1243,1
1,2015,Ene,Antioquia,$1.000.001 0 $1.500.000,642,1
1,2015,Ene,Antioquia,$1.500.001 0 $2.000.000,349,1
1,2015,Ene,Antioquia,$2.000.001 0 $3.000.000,400,1
1,2015,Ene,Antioquia,$3.000.001 0 $4.000.000,179,1
1,2015,Ene,Antioquia,$4.000.001 0 $6.000.000,133,1
1,2015,Ene,Antioquia,$6.000.001 0 $8.000.000,23,1
1,2015,Ene,Antioquia,$8.000.001 0 $10.000.000,28,1
1,2015,Ene,Antioquia,$10.000.0010$12.000.000,2,1
1,2015,Ene,Antioquia,$12.000.0010$15.000.000,5,1
1,2015,Ene,Antioquia,>$15.000.001,1,1
1,2015,Ene,Antioquia,A convenir,528,1
1,2015,Ene,Antioquia,No especifica Salario,243,1
1,2015,Ene,Arauca,Salario Mínimo,1,25
1,2015,Ene,Arauca,Salario Mínimo 0 $1.000.000,6,25
1,2015,Ene,Arauca,$1.000.001 0 $1.500.000,9,25
1,2015,Ene,Arauca,$1.500.001 0 $2.000.000,1,25
1,2015,Ene,Arauca,$2.000.001 0 $3.000.000,8,25
1,2015,Ene,Arauca,$3.000.001 0 $4.000.000,3,25
1,2015,Ene,Arauca,$4.000.001 0 $6.000.000,0,25
1,2015,Ene,Arauca,$6.000.001 0 $8.000.000,0,25
1,2015,Ene,Arauca,$8.000.001 0 $10.000.000,0,25
1,2015,Ene,Arauca,$10.000.0010$12.000.000,0,25
1,2015,Ene,Arauca,$12.000.0010$15.000.000,0,25
1,2015,Ene,Arauca,>$15.000.001,0,25
1,2015,Ene,Arauca,A convenir,22,25
1,2015,Ene,Arauca,No especifica Salario,0,25
1,2015,Ene,Atlántico,Salario Mínimo,58,2
1,2015,Ene,Atlántico,Salario Mínimo 0 $1.000.000,387,2
1,2015,Ene,Atlántico,$1.000.001 0 $1.500.000,233,2
1,2015,Ene,Atlántico,$1.500.001 0 $2.000.000,120,2
1,2015,Ene,Atlántico,$2.000.001 0 $3.000.000,132,2
1,2015,Ene,Atlántico,$3.000.001 0 $4.000.000,69,2
1,2015,Ene,Atlántico,$4.000.001 0 $6.000.000,35,2
1,2015,Ene,Atlántico,$6.000.001 0 $8.000.000,14,2
1,2015,Ene,Atlántico,$8.000.001 0 $10.000.000,7,2
1,2015,Ene,Atlántico,$10.000.0010$12.000.000,0,2
1,2015,Ene,Atlántico,$12.000.0010$15.000.000,1,2
1,2015,Ene,Atlántico,>$15.000.001,1,2
1,2015,Ene,Atlántico,A convenir,189,2
1,2015,Ene,Atlántico,No especifica Salario,67,2
1,2015,Ene,Bogotá D.C.,Salario Mínimo,1224,3
1,2015,Ene,Bogotá D.C.,Salario Mínimo 0 $1.000.000,16209,3
