departamento,vacantes,Dividido,poblacion,indicador,porcentaje
Amazonas,4716,786,80464,0.058610061642474,0.009768343607079
Antioquia,1118795,186465.833333333,6782584,0.164951145463145,0.027491857577191
Arauca,19488,3248,301270,0.064686161914562,0.01078102698576
"Archipiélago de San Andrés, Providencia y Santa Catalina",11572,1928.66666666667,64672,0.178933696190005,0.029822282698334
Atlántico,245537,40922.8333333333,2771139,0.088605082603218,0.014767513767203
Bogotá D.C.,4420185,736697.5,7834167,0.564218888874848,0.094036481479141
Bolívar,121563,20260.5,2213061,0.054929800850496,0.009154966808416
Boyacá,96667,16111.1666666667,1251675,0.077230111650389,0.012871685275065
Caldas,84106,14017.6666666667,1027314,0.081869808062579,0.01364496801043
Caquetá,15869,2644.83333333333,414841,0.038253210266102,0.00637553504435
Casanare,126164,21027.3333333333,439238,0.28723380035425,0.047872300059042
Cauca,45940,7656.66666666667,1504044,0.030544319182152,0.005090719863692
Cesar,58574,9762.33333333333,1322466,0.044291497853253,0.007381916308875
Chocó,8871,1478.5,549225,0.016151850334562,0.00269197505576
Córdoba,43636,7272.66666666667,1844076,0.023662799147107,0.003943799857851
Cundinamarca,474069,79011.5,3372221,0.140580644032523,0.023430107338754
Guainía,1474,245.666666666667,51450,0.028649173955296,0.004774862325883
Guaviare,2445,407.5,88490,0.027630240705165,0.004605040117527
Huila,80425,13404.1666666667,1131934,0.07105096233526,0.011841827055877
La Guajira,22402,3733.66666666667,987781,0.022679116119869,0.003779852686645
Magdalena,47836,7972.66666666667,1449087,0.033011130456626,0.005501855076104
Meta,182258,30376.3333333333,1072412,0.169951473873847,0.028325245645641
Nariño,53468,8911.33333333333,1627386,0.032855143155957,0.005475857192659
Norte de Santander,70725,11787.5,1642746,0.043052912623132,0.007175485437189
Putumayo,26376,4396,364085,0.072444621448288,0.012074103574715
Quindío,46518,7753,562117,0.082755013635951,0.013792502272659
Risaralda,146936,24489.3333333333,968626,0.151695287964601,0.0252825479941
Santander,292391,48731.8333333333,2306455,0.126770736910107,0.021128456151685
Sucre,22873,3812.16666666667,962457,0.023765217562967,0.003960869593828
Tolima,97681,16280.1666666667,1343898,0.072684831735742,0.012114138622624
Valle del Cauca,643782,107297,4556752,0.141280894812796,0.023546815802133
Vaupés,753,125.5,46808,0.016086993676295,0.002681165612716
Vichada,1278,213,114557,0.01115601840132,0.00185933640022
