num_mes,anio,mes,departamento,ocupacion,cant_ocupac,cod_dpto
1,2015,Ene,Amazonas,Fuerzas Militares,0,29
1,2015,Ene,Amazonas,Directores Y Gerentes,2,29
1,2015,Ene,Amazonas,"Profesionales, Científicos E Intelectuales",8,29
1,2015,Ene,Amazonas,Técnicos Y Profesionales De Nivel Medio,4,29
1,2015,Ene,Amazonas,Personal De Apoyo Administrativo,2,29
1,2015,Ene,Amazonas,Trabajadores De Los Servicios Y Vendedores De Comercios Y Mercados,1,29
1,2015,Ene,Amazonas,"Agricultores Y Trabajadores Calificados Agropecuarios, Forestales Y Pesqueros",1,29
1,2015,Ene,Amazonas,"Oficiales, Operarios, Artesanos Y Oficios Relacionados",0,29
1,2015,Ene,Amazonas,Operadores De Instalaciones Y Máquinas Y Ensambladores,0,29
1,2015,Ene,Amazonas,Ocupaciones Elementales,0,29
1,2015,Ene,Amazonas,No especifica ocupación,2,29
1,2015,Ene,Antioquia,Fuerzas Militares,9,1
1,2015,Ene,Antioquia,Directores Y Gerentes,167,1
1,2015,Ene,Antioquia,"Profesionales, Científicos E Intelectuales",1050,1
1,2015,Ene,Antioquia,Técnicos Y Profesionales De Nivel Medio,633,1
1,2015,Ene,Antioquia,Personal De Apoyo Administrativo,638,1
1,2015,Ene,Antioquia,Trabajadores De Los Servicios Y Vendedores De Comercios Y Mercados,977,1
1,2015,Ene,Antioquia,"Agricultores Y Trabajadores Calificados Agropecuarios, Forestales Y Pesqueros",21,1
1,2015,Ene,Antioquia,"Oficiales, Operarios, Artesanos Y Oficios Relacionados",278,1
1,2015,Ene,Antioquia,Operadores De Instalaciones Y Máquinas Y Ensambladores,114,1
1,2015,Ene,Antioquia,Ocupaciones Elementales,119,1
1,2015,Ene,Antioquia,No especifica ocupación,72,1
1,2015,Ene,Arauca,Fuerzas Militares,0,25
1,2015,Ene,Arauca,Directores Y Gerentes,0,25
1,2015,Ene,Arauca,"Profesionales, Científicos E Intelectuales",24,25
1,2015,Ene,Arauca,Técnicos Y Profesionales De Nivel Medio,14,25
1,2015,Ene,Arauca,Personal De Apoyo Administrativo,1,25
